sample	sample_type.samples
TCGA-AA-A03F-01A	Primary Tumor
TCGA-AA-A01G-01A	Primary Tumor
TCGA-AA-3531-01A	Primary Tumor
TCGA-AA-3520-01A	Primary Tumor
TCGA-AA-A01D-01A	Primary Tumor
TCGA-5M-AATA-01A	Primary Tumor
TCGA-CM-4751-01A	Primary Tumor
TCGA-AD-5900-01A	Primary Tumor
TCGA-G4-6295-01A	Primary Tumor
TCGA-AZ-4615-01A	Primary Tumor
TCGA-F4-6808-01A	Primary Tumor
TCGA-AA-3660-01A	Primary Tumor
TCGA-AZ-4616-01A	Primary Tumor
TCGA-D5-6539-01A	Primary Tumor
TCGA-G4-6317-01A	Primary Tumor
TCGA-4T-AA8H-01A	Primary Tumor
TCGA-DM-A285-01A	Primary Tumor
TCGA-AY-6197-01A	Primary Tumor
TCGA-AA-3506-01A	Primary Tumor
TCGA-AA-3949-01A	Primary Tumor
TCGA-DM-A28F-01A	Primary Tumor
TCGA-CA-6717-01A	Primary Tumor
TCGA-DM-A28A-01A	Primary Tumor
TCGA-QG-A5YW-01A	Primary Tumor
TCGA-AA-3524-01A	Primary Tumor
TCGA-AZ-6606-01A	Primary Tumor
TCGA-AA-3989-01A	Primary Tumor
TCGA-AA-3488-01A	Primary Tumor
TCGA-AA-3855-01A	Primary Tumor
TCGA-CM-4748-01A	Primary Tumor
TCGA-F4-6807-01A	Primary Tumor
TCGA-AA-3534-01A	Primary Tumor
TCGA-F4-6704-01A	Primary Tumor
TCGA-AA-3869-01A	Primary Tumor
TCGA-D5-6538-01A	Primary Tumor
TCGA-AA-A01T-01A	Primary Tumor
TCGA-DM-A1DA-01A	Primary Tumor
TCGA-CA-5256-01A	Primary Tumor
TCGA-AA-3986-01A	Primary Tumor
TCGA-AA-3543-01A	Primary Tumor
TCGA-AA-A01S-01A	Primary Tumor
TCGA-CM-6168-01A	Primary Tumor
TCGA-A6-6780-01A	Primary Tumor
TCGA-CA-5254-01A	Primary Tumor
TCGA-CK-5914-01A	Primary Tumor
TCGA-AA-3554-01A	Primary Tumor
TCGA-AA-3696-01A	Primary Tumor
TCGA-CM-5863-01A	Primary Tumor
TCGA-D5-6931-01A	Primary Tumor
TCGA-AY-A71X-01A	Primary Tumor
TCGA-DM-A28G-01A	Primary Tumor
TCGA-A6-6649-01A	Primary Tumor
TCGA-F4-6569-01A	Primary Tumor
TCGA-AA-3663-01A	Primary Tumor
TCGA-AA-3526-01A	Primary Tumor
TCGA-F4-6856-01A	Primary Tumor
TCGA-AA-A00A-01A	Primary Tumor
TCGA-AA-A010-01A	Primary Tumor
TCGA-A6-5661-01B	Primary Tumor
TCGA-AA-3851-01A	Primary Tumor
TCGA-CK-4952-01A	Primary Tumor
TCGA-CM-5348-01A	Primary Tumor
TCGA-A6-2678-01A	Primary Tumor
TCGA-NH-A50T-01A	Primary Tumor
TCGA-A6-5665-01B	Primary Tumor
TCGA-G4-6293-01A	Primary Tumor
TCGA-AA-3872-01A	Primary Tumor
TCGA-AA-3556-01A	Primary Tumor
TCGA-G4-6309-01A	Primary Tumor
TCGA-AA-3831-01A	Primary Tumor
TCGA-AA-3542-01A	Primary Tumor
TCGA-F4-6703-01A	Primary Tumor
TCGA-AA-3877-01A	Primary Tumor
TCGA-AA-3684-01A	Primary Tumor
TCGA-A6-6780-01B	Primary Tumor
TCGA-D5-6920-01A	Primary Tumor
TCGA-D5-7000-01A	Primary Tumor
TCGA-AZ-6600-01A	Primary Tumor
TCGA-AA-3950-01A	Primary Tumor
TCGA-F4-6805-01A	Primary Tumor
TCGA-NH-A8F8-01A	Primary Tumor
TCGA-CK-4947-01B	Primary Tumor
TCGA-G4-6306-01A	Primary Tumor
TCGA-AA-3715-01A	Primary Tumor
TCGA-A6-2680-01A	Primary Tumor
TCGA-AA-3956-01A	Primary Tumor
TCGA-D5-6927-01A	Primary Tumor
TCGA-AA-3552-01A	Primary Tumor
TCGA-D5-6541-01A	Primary Tumor
TCGA-AZ-4323-01A	Primary Tumor
TCGA-AA-3561-01A	Primary Tumor
TCGA-DM-A0X9-01A	Primary Tumor
TCGA-AD-6890-01A	Primary Tumor
TCGA-D5-6932-01A	Primary Tumor
TCGA-AD-6899-01A	Primary Tumor
TCGA-CM-5860-01A	Primary Tumor
TCGA-D5-6529-01A	Primary Tumor
TCGA-AD-6964-01A	Primary Tumor
TCGA-AA-A00F-01A	Primary Tumor
TCGA-AA-3875-01A	Primary Tumor
TCGA-CM-6161-01A	Primary Tumor
TCGA-3L-AA1B-01A	Primary Tumor
TCGA-AA-3560-01A	Primary Tumor
TCGA-AA-3845-01A	Primary Tumor
TCGA-AA-A00Z-01A	Primary Tumor
TCGA-DM-A1D4-01A	Primary Tumor
TCGA-AA-3710-01A	Primary Tumor
TCGA-AA-3519-01A	Primary Tumor
TCGA-CM-4744-01A	Primary Tumor
TCGA-CK-4948-01B	Primary Tumor
TCGA-T9-A92H-01A	Primary Tumor
TCGA-A6-3808-01A	Primary Tumor
TCGA-AA-3837-01A	Primary Tumor
TCGA-G4-6321-01A	Primary Tumor
TCGA-CA-5255-01A	Primary Tumor
TCGA-AA-3532-01A	Primary Tumor
TCGA-QG-A5YV-01A	Primary Tumor
TCGA-D5-6540-01A	Primary Tumor
TCGA-AZ-6605-01A	Primary Tumor
TCGA-AA-3509-01A	Primary Tumor
TCGA-AY-6386-01A	Primary Tumor
TCGA-NH-A6GA-01A	Primary Tumor
TCGA-DM-A282-01A	Primary Tumor
TCGA-A6-5664-01A	Primary Tumor
TCGA-AY-A54L-01A	Primary Tumor
TCGA-AA-A01I-01A	Primary Tumor
TCGA-AA-3861-01A	Primary Tumor
TCGA-AA-A01K-01A	Primary Tumor
TCGA-AA-3529-01A	Primary Tumor
TCGA-AA-3858-01A	Primary Tumor
TCGA-CK-4950-01A	Primary Tumor
TCGA-CK-4951-01A	Primary Tumor
TCGA-A6-2686-01A	Primary Tumor
TCGA-F4-6463-01A	Primary Tumor
TCGA-5M-AAT5-01A	Primary Tumor
TCGA-AU-6004-01A	Primary Tumor
TCGA-AZ-4313-01A	Primary Tumor
TCGA-AA-3856-01A	Primary Tumor
TCGA-AA-3818-01A	Primary Tumor
TCGA-CM-6169-01A	Primary Tumor
TCGA-A6-2683-01A	Primary Tumor
TCGA-AA-3530-01A	Primary Tumor
TCGA-AA-3947-01A	Primary Tumor
TCGA-DM-A1D9-01A	Primary Tumor
TCGA-A6-4107-01A	Primary Tumor
TCGA-AA-3812-01A	Primary Tumor
TCGA-AA-3870-01A	Primary Tumor
TCGA-DM-A1D8-01A	Primary Tumor
TCGA-CM-6162-01A	Primary Tumor
TCGA-AA-3971-01A	Primary Tumor
TCGA-AA-3867-01A	Primary Tumor
TCGA-AD-6548-01A	Primary Tumor
TCGA-NH-A50V-01A	Primary Tumor
TCGA-AA-A01V-01A	Primary Tumor
TCGA-A6-3809-01A	Primary Tumor
TCGA-CK-5916-01A	Primary Tumor
TCGA-CM-6680-01A	Primary Tumor
TCGA-G4-6320-01A	Primary Tumor
TCGA-A6-5660-01A	Primary Tumor
TCGA-AA-A02J-01A	Primary Tumor
TCGA-AA-3549-01A	Primary Tumor
TCGA-A6-A566-01A	Primary Tumor
TCGA-CK-5915-01A	Primary Tumor
TCGA-AA-3976-01A	Primary Tumor
TCGA-G4-6588-01A	Primary Tumor
TCGA-AA-3685-01A	Primary Tumor
TCGA-QG-A5Z2-01A	Primary Tumor
TCGA-AA-3968-01A	Primary Tumor
TCGA-A6-2681-01A	Primary Tumor
TCGA-QG-A5YX-01A	Primary Tumor
TCGA-DM-A28K-01A	Primary Tumor
TCGA-AA-3553-01A	Primary Tumor
TCGA-AA-3562-01A	Primary Tumor
TCGA-CM-6678-01A	Primary Tumor
TCGA-A6-5667-01A	Primary Tumor
TCGA-5M-AAT4-01A	Primary Tumor
TCGA-AA-3525-01A	Primary Tumor
TCGA-AA-3982-01A	Primary Tumor
TCGA-A6-2675-01A	Primary Tumor
TCGA-CM-4750-01A	Primary Tumor
TCGA-AA-3860-01A	Primary Tumor
TCGA-G4-6626-01A	Primary Tumor
TCGA-A6-2685-01A	Primary Tumor
TCGA-A6-2684-01C	Primary Tumor
TCGA-A6-6782-01A	Primary Tumor
TCGA-A6-4105-01A	Primary Tumor
TCGA-AA-3955-01A	Primary Tumor
TCGA-AA-A02Y-01A	Primary Tumor
TCGA-G4-6625-01A	Primary Tumor
TCGA-AA-3966-01A	Primary Tumor
TCGA-AA-3681-01A	Primary Tumor
TCGA-A6-6650-01A	Primary Tumor
TCGA-AA-3852-01A	Primary Tumor
TCGA-AA-3666-01A	Primary Tumor
TCGA-AA-3516-01A	Primary Tumor
TCGA-D5-6534-01A	Primary Tumor
TCGA-AA-A00K-01A	Primary Tumor
TCGA-AD-6888-01A	Primary Tumor
TCGA-D5-5539-01A	Primary Tumor
TCGA-A6-6654-01A	Primary Tumor
TCGA-AA-A01C-01A	Primary Tumor
TCGA-AA-3941-01A	Primary Tumor
TCGA-CM-4752-01A	Primary Tumor
TCGA-AA-A02E-01A	Primary Tumor
TCGA-A6-2682-01A	Primary Tumor
TCGA-A6-2676-01A	Primary Tumor
TCGA-AY-4071-01A	Primary Tumor
TCGA-AA-3821-01A	Primary Tumor
TCGA-A6-6650-01B	Primary Tumor
TCGA-A6-2672-01A	Primary Tumor
TCGA-AA-3811-01A	Primary Tumor
TCGA-D5-6928-01A	Primary Tumor
TCGA-A6-3810-01B	Primary Tumor
TCGA-CM-5344-01A	Primary Tumor
TCGA-AY-5543-01A	Primary Tumor
TCGA-AY-4070-01A	Primary Tumor
TCGA-CM-6163-01A	Primary Tumor
TCGA-D5-6535-01A	Primary Tumor
TCGA-A6-5659-01A	Primary Tumor
TCGA-AA-3814-01A	Primary Tumor
TCGA-NH-A5IV-01A	Primary Tumor
TCGA-D5-6537-01A	Primary Tumor
TCGA-D5-6929-01A	Primary Tumor
TCGA-A6-6137-01A	Primary Tumor
TCGA-F4-6854-01A	Primary Tumor
TCGA-AY-A69D-01A	Primary Tumor
TCGA-AA-3854-01A	Primary Tumor
TCGA-AA-3538-01A	Primary Tumor
TCGA-G4-6628-01A	Primary Tumor
TCGA-CM-5349-01A	Primary Tumor
TCGA-AA-A02W-01A	Primary Tumor
TCGA-G4-6322-01A	Primary Tumor
TCGA-CM-6170-01A	Primary Tumor
TCGA-AA-3819-01A	Primary Tumor
TCGA-D5-6531-01A	Primary Tumor
TCGA-AU-3779-01A	Primary Tumor
TCGA-CA-6718-01A	Primary Tumor
TCGA-AZ-4308-01A	Primary Tumor
TCGA-AA-3662-01A	Primary Tumor
TCGA-G4-6627-01A	Primary Tumor
TCGA-AA-3862-01A	Primary Tumor
TCGA-AA-3489-01A	Primary Tumor
TCGA-AA-3679-01A	Primary Tumor
TCGA-CM-5868-01A	Primary Tumor
TCGA-AA-3930-01A	Primary Tumor
TCGA-AA-A024-01A	Primary Tumor
TCGA-AA-3850-01A	Primary Tumor
TCGA-D5-6924-01A	Primary Tumor
TCGA-5M-AAT6-01A	Primary Tumor
TCGA-AA-A03J-01A	Primary Tumor
TCGA-A6-5656-01B	Primary Tumor
TCGA-AA-3548-01A	Primary Tumor
TCGA-NH-A6GB-01A	Primary Tumor
TCGA-AA-A00N-01A	Primary Tumor
TCGA-CM-5341-01A	Primary Tumor
TCGA-DM-A280-01A	Primary Tumor
TCGA-DM-A1HA-01A	Primary Tumor
TCGA-WS-AB45-01A	Primary Tumor
TCGA-A6-6651-01A	Primary Tumor
TCGA-A6-2684-01A	Primary Tumor
TCGA-G4-6323-01A	Primary Tumor
TCGA-A6-2672-01B	Primary Tumor
TCGA-AY-6196-01A	Primary Tumor
TCGA-AA-3972-01A	Primary Tumor
TCGA-D5-6536-01A	Primary Tumor
TCGA-AD-A5EK-01A	Primary Tumor
TCGA-AA-A00R-01A	Primary Tumor
TCGA-AA-3517-01A	Primary Tumor
TCGA-G4-6302-01A	Primary Tumor
TCGA-AZ-4684-01A	Primary Tumor
TCGA-AD-6901-01A	Primary Tumor
TCGA-AA-3844-01A	Primary Tumor
TCGA-AA-3846-01A	Primary Tumor
TCGA-D5-5537-01A	Primary Tumor
TCGA-F4-6460-01A	Primary Tumor
TCGA-AA-A01X-01A	Primary Tumor
TCGA-D5-5541-01A	Primary Tumor
TCGA-CM-6167-01A	Primary Tumor
TCGA-D5-5538-01A	Primary Tumor
TCGA-AZ-5403-01A	Primary Tumor
TCGA-AA-3980-01A	Primary Tumor
TCGA-AA-A00O-01A	Primary Tumor
TCGA-CM-6172-01A	Primary Tumor
TCGA-AA-3984-01A	Primary Tumor
TCGA-A6-6140-01A	Primary Tumor
TCGA-F4-6459-01A	Primary Tumor
TCGA-A6-2674-01A	Primary Tumor
TCGA-AA-3692-01A	Primary Tumor
TCGA-G4-6310-01A	Primary Tumor
TCGA-CM-5861-01A	Primary Tumor
TCGA-AA-3713-01A	Primary Tumor
TCGA-A6-2677-01B	Primary Tumor
TCGA-A6-6648-01A	Primary Tumor
TCGA-AD-6963-01A	Primary Tumor
TCGA-AA-3673-01A	Primary Tumor
TCGA-DM-A1D7-01A	Primary Tumor
TCGA-A6-A565-01A	Primary Tumor
TCGA-F4-6806-01A	Primary Tumor
TCGA-CM-5862-01A	Primary Tumor
TCGA-F4-6855-01A	Primary Tumor
TCGA-NH-A50U-01A	Primary Tumor
TCGA-AA-3697-01A	Primary Tumor
TCGA-AZ-6607-01A	Primary Tumor
TCGA-A6-6141-01A	Primary Tumor
TCGA-A6-6142-01A	Primary Tumor
TCGA-CM-6674-01A	Primary Tumor
TCGA-F4-6461-01A	Primary Tumor
TCGA-G4-6315-01A	Primary Tumor
TCGA-AA-3655-01A	Primary Tumor
TCGA-CA-6719-01A	Primary Tumor
TCGA-F4-6570-01A	Primary Tumor
TCGA-DM-A28C-01A	Primary Tumor
TCGA-SS-A7HO-01A	Primary Tumor
TCGA-AA-3511-01A	Primary Tumor
TCGA-AM-5820-01A	Primary Tumor
TCGA-AA-3675-01A	Primary Tumor
TCGA-AZ-6608-01A	Primary Tumor
TCGA-AZ-4682-01B	Primary Tumor
TCGA-CM-6675-01A	Primary Tumor
TCGA-F4-6809-01A	Primary Tumor
TCGA-AA-A02K-01A	Primary Tumor
TCGA-A6-3810-01A	Primary Tumor
TCGA-DM-A28H-01A	Primary Tumor
TCGA-CA-6715-01A	Primary Tumor
TCGA-AZ-6603-01A	Primary Tumor
TCGA-QG-A5Z1-01A	Primary Tumor
TCGA-DM-A0XF-01A	Primary Tumor
TCGA-D5-6923-01A	Primary Tumor
TCGA-G4-6307-01A	Primary Tumor
TCGA-DM-A1DB-01A	Primary Tumor
